MRN,SSN,First_Name,Last_Name,Age,Gender,Policy_Number,Policy_Type,Premium_Amount,Coverage_Start_Date,Coverage_End_Date,Medical_Specialty,Provider_Name,Hospital_Name,City,State,Zip_Code,Claim_History,Chronic_Condition,Contact_Number
664368,262-29-7026,Cameron,Hawkins,69,Female,POL7690096,PPO,1416.33,2023-04-18,2026-11-27,Orthopedics,Smith LLC,Ford-Huynh Hospital,Parkerville,MA,33429,Low,No,(677)597-1815
171169,362-76-7557,Amanda,Johnson,32,Other,POL0344840,PPO,1220.94,2025-02-07,2027-01-10,Pediatrics,"Mitchell, Phillips and Baker","Williams, Barber and Barber Hospital",North Lindaberg,RI,29128,High,Yes,001-758-584-4311x2696
352551,035-41-2002,Jessica,Macias,89,Other,POL5037057,HMO,1069.68,2023-11-13,2026-03-04,Dermatology,Owens and Sons,"Jackson, Salinas and Phillips Hospital",Jessicaborough,OK,33835,Medium,No,888.775.7574x412
298687,817-92-6296,Carly,Barrett,78,Male,POL5797288,POS,954.89,2022-12-19,2026-06-10,Neurology,"Larsen, Branch and Barker",Hunt Group Hospital,North Kayla,SC,38486,Medium,Yes,126-311-2067x23115
617248,058-32-0140,Robert,Barnett,38,Other,POL3245077,PPO,683.97,2023-03-10,2026-01-26,Oncology,White-White,Ayala Group Hospital,North Geoffreychester,NE,13785,Low,No,3388435609
839545,509-94-8505,Shannon,Wagner,41,Male,POL0154378,POS,1422.17,2022-01-22,2027-08-11,Dermatology,"Walters, Baker and Mccarty","Schroeder, Davidson and Lee Hospital",East Nathantown,MT,09201,High,No,1828571946
751969,144-56-2817,Ashley,Cooper,20,Other,POL0907447,PPO,1465.76,2022-06-09,2027-09-09,Oncology,Miller-Walls,Thomas-Johnson Hospital,Whitebury,MA,37474,Medium,Yes,001-118-971-5968x94084
671326,379-08-8530,Nicole,Jones,39,Female,POL4656135,POS,569.1,2024-02-19,2026-09-18,Orthopedics,"Crawford, Roberts and Larsen",Smith-Hansen Hospital,South Jennifer,CT,58109,High,No,695.311.5906x7214
905687,420-87-0306,Allison,Jones,70,Other,POL0548517,EPO,596.97,2025-05-25,2027-08-10,Pediatrics,"Martinez, Walker and Powers","Graves, Gonzalez and Russo Hospital",Ramoschester,NY,55513,High,Yes,001-129-877-8870x95926
125103,578-52-7593,Tracy,Leblanc,19,Male,POL0503431,POS,831.3,2025-09-19,2027-08-17,Cardiology,Peterson-Jones,Jackson-Reeves Hospital,Lake Robert,NM,05652,Low,No,232-049-7346x823
848216,788-75-3383,Joel,Ward,47,Male,POL3099502,EPO,782.95,2020-12-01,2027-09-05,Pediatrics,Shelton PLC,Kim-Gonzalez Hospital,South Charlesstad,NV,64725,Medium,No,(192)627-3759
921270,161-89-4757,Jessica,Miranda,55,Female,POL9100742,EPO,1492.79,2021-05-14,2026-08-31,Dermatology,Patterson LLC,Walker Ltd Hospital,Port Lisa,NE,38728,Low,Yes,001-041-289-6125x73355
300816,376-89-9822,Richard,Johnson,19,Other,POL9906891,POS,428.7,2021-03-29,2027-09-04,Oncology,Jordan-Mercado,Olson-Sparks Hospital,South Nicholasfort,NM,11626,Medium,Yes,596-601-5691
606881,883-32-9003,Lisa,Jordan,81,Other,POL2155007,EPO,223.5,2021-03-05,2026-11-04,Oncology,Smith and Sons,"Sanchez, Proctor and Romero Hospital",Lake Nancyview,UT,26952,Medium,Yes,(694)887-5015x8793
965040,681-34-1246,Toni,Jones,77,Female,POL3930246,HMO,842.06,2023-01-02,2025-10-19,Neurology,Ward-Wallace,Young Inc Hospital,New Davidhaven,WI,61410,Medium,No,001-946-604-6571
692960,105-19-8638,Laurie,Walker,38,Other,POL4981970,EPO,432.47,2024-12-07,2026-05-05,Oncology,"Miller, Baker and Sharp",Peterson Inc Hospital,Pachecoview,UT,59145,Medium,Yes,7073036234
881661,458-57-9822,Edgar,Rogers,50,Other,POL9654348,PPO,676.41,2022-09-12,2026-08-24,Neurology,"Sanders, Bryant and Hayes",Walter-Crawford Hospital,Lucasshire,HI,66966,Medium,No,001-210-967-5106x891
805313,676-64-7781,Christopher,Berg,75,Male,POL5716577,POS,1167.42,2025-07-12,2027-01-22,Orthopedics,"Johnston, Adams and Gutierrez","Jones, Hebert and Walters Hospital",Port Michaelhaven,NJ,37609,High,No,(690)866-0915x5566
336331,652-47-3404,Jesus,Robinson,39,Other,POL4630111,HMO,1137.22,2024-09-20,2027-01-07,Cardiology,Ramsey-Young,"Smith, Jackson and Wilson Hospital",North James,WI,80091,Low,Yes,+1-189-140-9234x10922
243327,695-47-3831,Jennifer,Brown,66,Other,POL4982675,POS,600.48,2021-05-27,2026-08-07,Dermatology,Donaldson and Sons,Estes LLC Hospital,North John,MI,37300,High,Yes,702-153-5536x4678
976686,323-95-3145,Ethan,Ford,76,Female,POL1003387,PPO,905.3,2024-05-27,2027-05-17,Neurology,Williams-Ryan,Coleman-Wallace Hospital,Jesustown,FL,51592,Medium,No,637-075-7788
428018,349-56-6501,Nicholas,Perry,59,Female,POL0418715,PPO,861.46,2023-03-08,2026-03-14,Cardiology,Oconnor-Preston,"Arnold, Anderson and Martin Hospital",East Joseton,MI,74103,Low,No,001-682-614-0393x0106
450659,089-41-7004,Deanna,Deleon,77,Male,POL7389929,PPO,1027.23,2024-09-22,2026-12-25,Oncology,Perry-Schultz,"Monroe, Porter and Wolf Hospital",North Rebeccaton,OH,66639,Medium,Yes,6570221016
387590,779-51-6823,Lori,Stein,32,Other,POL9771355,EPO,525.6,2025-07-22,2026-10-24,Oncology,Ortiz Group,Thomas LLC Hospital,East Rodney,UT,87015,Low,Yes,001-502-270-8127x671
132985,518-80-2566,Tammy,Mcdaniel,79,Other,POL6434421,EPO,966.83,2024-02-09,2027-03-30,Cardiology,Weber Group,Byrd Group Hospital,Nicholasfurt,KS,64485,High,Yes,+1-291-237-3307x08375
281908,353-72-4884,Douglas,Collins,79,Other,POL8763366,POS,1472.56,2022-02-08,2025-11-28,Oncology,Bennett LLC,Adams-Meza Hospital,North Christine,MD,56735,Low,Yes,(640)920-8454x00415
892083,201-92-5787,Jessica,Aguilar,64,Male,POL4003170,POS,832.76,2021-12-09,2026-05-17,Orthopedics,Pearson PLC,"Aguirre, Payne and Murray Hospital",New Rachel,IA,75366,Low,Yes,626-458-2213x26760
266282,452-18-4738,Scott,Montgomery,79,Male,POL0916053,HMO,1377.93,2024-01-11,2025-12-15,Orthopedics,"Hill, Marsh and Gibson",Wade-Romero Hospital,Audreychester,GA,19161,Low,No,001-531-194-7401x395
356400,519-71-6939,Anthony,Bryant,68,Female,POL2507250,HMO,764.71,2022-03-13,2027-06-24,Cardiology,"Sanders, Owens and Saunders","Ferrell, Reeves and Miller Hospital",Buckleyhaven,TX,36031,Low,No,3296249944
115682,614-18-8939,Robin,Maldonado,72,Male,POL9384226,POS,655.1,2025-06-10,2027-03-15,Neurology,"Miller, Castro and Sparks",Wu-Dawson Hospital,Lisastad,GA,53943,Low,No,447-680-2256x601
397041,483-55-7298,Denise,Nelson,81,Other,POL4129505,EPO,1038.63,2022-04-30,2027-04-14,Neurology,Bennett Ltd,Briggs Group Hospital,North Deannafurt,MI,36721,Medium,No,200-669-7411
989854,816-70-9569,Sarah,Smith,20,Other,POL2964439,PPO,1069.6,2021-04-10,2027-08-11,Cardiology,Mendez and Sons,Frazier-Meza Hospital,Bonnieburgh,NM,40710,Low,Yes,(760)711-0667
814967,062-56-2638,Dustin,Lopez,68,Male,POL9147565,POS,1323.42,2024-09-10,2027-07-29,Neurology,Lambert-Brock,Harris-Gray Hospital,East Bryan,UT,47553,Low,Yes,(688)759-0772
950888,603-15-6161,Hunter,Walsh,24,Other,POL4926091,HMO,499.24,2022-03-13,2026-06-18,Neurology,Harding Ltd,Jones-Tran Hospital,New Jose,IL,41535,High,Yes,0283296425
112983,415-67-2145,Jennifer,Smith,38,Other,POL1723167,EPO,848.95,2022-11-14,2026-01-08,Orthopedics,"Miller, Webster and Moore",Hansen-Craig Hospital,East Jessicachester,IN,98320,Low,No,(442)985-0949x39879
157722,650-17-8268,Leslie,Lowery,56,Male,POL7069885,POS,943.61,2024-03-24,2027-07-06,Neurology,Bryant Inc,Brooks Group Hospital,Port Juliefort,NM,31583,High,No,+1-046-378-2380x2057
483414,622-81-3892,Catherine,Deleon,35,Male,POL6409109,POS,1199.12,2021-06-25,2027-01-26,Pediatrics,Schaefer-Robinson,Long-Smith Hospital,West Ashley,AL,84704,Medium,Yes,001-376-353-5443x65473
693823,224-15-4362,Laura,Daniels,21,Other,POL5799087,EPO,256.68,2024-11-24,2026-01-10,Dermatology,Stokes Ltd,Harrison-Lewis Hospital,Gilesbury,MS,40137,Low,Yes,001-512-785-9776
